Season|GP|Shootouts|Shootout Game %|Goals|Attempts|Goal %|Date Pulled
2014-2015|16|2|12.50|6|15|40.00|Oct 10 2014 08:20:08 PM EDT
2014-2015|17|2|11.76|6|15|40.00|Oct 11 2014 05:49:16 PM EDT
2014-2015|32|5|15.63|11|35|31.43|Oct 12 2014 07:23:32 PM EDT
2014-2015|35|5|14.29|11|35|31.43|Oct 13 2014 04:09:53 PM EDT
2014-2015|38|5|13.16|11|35|31.43|Oct 14 2014 01:41:08 PM EDT
2014-2015|47|9|19.15|19|69|27.54|Oct 15 2014 01:48:25 AM EDT
2014-2015|50|10|20.00|21|73|28.77|Oct 16 2014 12:20:01 AM EDT
2014-2015|56|12|21.43|25|89|28.09|Oct 17 2014 01:09:24 AM EDT
2014-2015|61|13|21.31|26|95|27.37|Oct 17 2014 11:38:59 PM EDT
2014-2015|63|13|20.63|26|95|27.37|Oct 18 2014 02:05:51 PM EDT
2014-2015|74|14|18.92|30|100|30.00|Oct 19 2014 12:18:00 PM EDT
2014-2015|78|14|17.95|30|100|30.00|Oct 20 2014 01:04:18 AM EDT
2014-2015|79|14|17.72|30|100|30.00|Oct 21 2014 10:54:03 AM EDT
2014-2015|89|15|16.85|33|108|30.56|Oct 22 2014 12:38:11 AM EDT
2014-2015|92|15|16.30|33|108|30.56|Oct 23 2014 12:32:59 PM EDT
2014-2015|100|15|15.00|33|108|30.56|Oct 24 2014 01:07:02 AM EDT
2014-2015|105|16|15.24|35|112|31.25|Oct 25 2014 01:09:14 AM EDT
2014-2015|117|16|13.68|35|112|31.25|Oct 26 2014 05:02:50 PM EDT
2014-2015|121|16|13.22|35|112|31.25|Oct 27 2014 12:05:48 AM EDT
2014-2015|123|16|13.01|35|112|31.25|Oct 28 2014 12:13:48 AM EDT
2014-2015|135|18|13.33|38|122|31.15|Oct 29 2014 01:31:14 AM EDT
2014-2015|137|18|13.14|38|122|31.15|Oct 30 2014 12:58:43 PM EDT
2014-2015|147|21|14.29|43|140|30.71|Oct 31 2014 01:48:43 AM EDT
2014-2015|151|21|13.91|43|140|30.71|Nov 1 2014 07:20:17 PM EDT
2014-2015|163|23|14.11|47|154|30.52|Nov 2 2014 01:42:11 AM EDT
2014-2015|166|24|14.46|50|160|31.25|Nov 2 2014 09:33:43 PM EST
2014-2015|168|24|14.29|50|160|31.25|Nov 2 2014 10:40:38 PM EST
2014-2015|169|24|14.20|50|160|31.25|Nov 3 2014 12:09:01 AM EST
2014-2015|170|24|14.12|50|160|31.25|Nov 3 2014 01:00:01 AM EST
2014-2015|171|25|14.62|53|166|31.93|Nov 4 2014 01:20:40 AM EST
2014-2015|181|25|13.81|53|166|31.93|Nov 4 2014 11:12:02 PM EST
2014-2015|183|25|13.66|53|166|31.93|Nov 5 2014 12:13:41 AM EST
2014-2015|186|26|13.98|56|172|32.56|Nov 5 2014 11:20:08 PM EST
2014-2015|185|26|14.05|56|172|32.56|Nov 6 2014 12:00:01 AM EST
2014-2015|186|26|13.98|56|172|32.56|Nov 6 2014 02:00:01 AM EST
2014-2015|192|26|13.54|56|172|32.56|Nov 6 2014 10:54:04 PM EST
2014-2015|193|26|13.47|56|172|32.56|Nov 6 2014 10:58:44 PM EST
2014-2015|192|26|13.54|56|172|32.56|Nov 6 2014 10:58:56 PM EST
2014-2015|193|27|13.99|59|176|33.52|Nov 7 2014 12:00:02 AM EST
2014-2015|196|29|14.80|65|185|35.14|Nov 7 2014 01:22:15 AM EST
2014-2015|198|29|14.65|65|186|34.95|Nov 7 2014 10:00:01 PM EST
2014-2015|200|29|14.50|65|186|34.95|Nov 7 2014 11:00:01 PM EST
2014-2015|201|30|14.93|68|191|35.60|Nov 8 2014 01:00:01 PM EST
2014-2015|202|30|14.85|68|191|35.60|Nov 8 2014 07:00:02 PM EST
2014-2015|213|31|14.55|69|203|33.99|Nov 9 2014 12:45:38 AM EST
2014-2015|216|32|14.81|70|208|33.65|Nov 9 2014 09:40:50 PM EST
2014-2015|218|33|15.14|71|213|33.33|Nov 10 2014 02:20:08 AM EST
2014-2015|220|33|15.00|71|213|33.33|Nov 11 2014 01:58:34 AM EST
2014-2015|231|34|14.72|72|218|33.03|Nov 12 2014 12:52:50 AM EST
2014-2015|232|34|14.66|72|218|33.03|Nov 13 2014 12:02:39 AM EST
2014-2015|233|35|15.02|75|223|33.63|Nov 13 2014 05:22:00 PM EST
2014-2015|237|36|15.19|78|229|34.06|Nov 13 2014 10:15:39 PM EST
2014-2015|240|36|15.00|78|229|34.06|Nov 13 2014 11:00:01 PM EST
2014-2015|242|36|14.88|78|229|34.06|Nov 14 2014 01:21:11 AM EST
2014-2015|247|37|14.98|81|235|34.47|Nov 14 2014 11:44:37 PM EST
2014-2015|248|37|14.92|81|235|34.47|Nov 15 2014 12:00:01 AM EST
2014-2015|249|37|14.86|81|235|34.47|Nov 15 2014 02:00:02 PM EST
2014-2015|250|37|14.80|81|235|34.47|Nov 15 2014 05:40:09 PM EST
2014-2015|260|38|14.62|84|243|34.57|Nov 16 2014 01:02:07 PM EST
2014-2015|261|38|14.56|84|243|34.57|Nov 16 2014 07:00:02 PM EST
2014-2015|262|38|14.50|84|243|34.57|Nov 16 2014 08:30:13 PM EST
2014-2015|266|38|14.29|84|243|34.57|Nov 17 2014 01:00:02 AM EST
2014-2015|267|38|14.23|84|243|34.57|Nov 18 2014 01:18:36 AM EST
2014-2015|277|39|14.08|87|249|34.94|Nov 19 2014 12:54:53 AM EST
2014-2015|278|39|14.03|87|249|34.94|Nov 19 2014 02:00:02 PM EST
